songid,song,performer,peak,start_week,end_week,start_peak,end_peak,weeks_to_hot,weeks_hot,tail_weeks,time_at_top_10,climb_slope,tail_slope,avg_position,weeks_on_chart,instance,group
Don't Mess With My ManNivea Featuring Brian & Brandon Casey,Don't Mess With My Man,Nivea Featuring Brian & Brandon Casey,8.0,2002-08-10,2003-04-12,2002-12-14,2003-01-25,18.0,7.0,11.0,7.0,5.0,3.272727272727273,38.75,36.0,1.0,4
1-800-273-8255Logic Featuring Alessia Cara & Khalid,1-800-273-8255,Logic Featuring Alessia Cara & Khalid,3.0,2017-05-20,2018-02-24,2017-09-16,2017-12-02,17.0,12.0,12.0,12.0,3.0588235294117645,3.0833333333333335,34.41463414634146,41.0,1.0,3
Some Nightsfun.,Some Nights,fun.,3.0,2012-03-10,2013-03-30,2012-08-25,2012-12-29,24.0,19.0,13.0,19.0,2.25,3.076923076923077,30.839285714285715,56.0,1.0,1
Chariots Of Fire - TitlesVangelis,Chariots Of Fire - Titles,Vangelis,1.0,1981-12-12,1982-06-19,1982-03-27,1982-05-22,15.0,9.0,4.0,9.0,5.733333333333333,22.5,42.107142857142854,28.0,1.0,4
Pumped Up KicksFoster The People,Pumped Up Kicks,Foster The People,3.0,2011-05-14,2012-02-11,2011-08-27,2011-11-26,15.0,14.0,11.0,14.0,5.866666666666666,3.8181818181818183,31.075,40.0,1.0,3
RockstarNickelback,Rockstar,Nickelback,6.0,2006-10-14,2008-01-26,2007-09-15,2007-10-06,48.0,4.0,16.0,4.0,1.7916666666666667,2.5625,44.204081632653065,49.0,2.0,1
Chasing CarsSnow Patrol,Chasing Cars,Snow Patrol,5.0,2006-06-03,2007-04-07,2006-09-16,2006-12-09,15.0,13.0,17.0,13.0,3.1333333333333333,2.1176470588235294,33.08888888888889,45.0,1.0,3
PompeiiBastille,Pompeii,Bastille,5.0,2013-08-31,2014-08-30,2014-02-01,2014-05-17,22.0,16.0,15.0,15.0,3.8636363636363638,2.4,33.943396226415096,53.0,1.0,1
"Breaking FreeZac Efron, Andrew Seeley & Vanessa Anne Hudgens",Breaking Free,"Zac Efron, Andrew Seeley & Vanessa Anne Hudgens",4.0,2006-02-04,2006-04-15,2006-02-11,2006-02-11,1.0,1.0,9.0,1.0,82.0,9.555555555555555,63.90909090909091,11.0,1.0,9
TeamLorde,Team,Lorde,6.0,2013-10-12,2014-06-28,2014-02-01,2014-05-03,16.0,14.0,8.0,14.0,5.125,3.875,32.94736842105263,38.0,1.0,4
1234Feist,1234,Feist,8.0,2007-09-29,2008-01-19,2007-10-13,2007-10-13,2.0,1.0,14.0,1.0,26.5,5.5,64.2,15.0,2.0,7
Cups (Pitch Perfect's When I'm Gone)Anna Kendrick,Cups (Pitch Perfect's When I'm Gone),Anna Kendrick,6.0,2013-01-12,2013-11-09,2013-07-20,2013-08-31,27.0,7.0,10.0,7.0,3.074074074074074,3.6,45.09090909090909,44.0,1.0,1
For All We KnowCarpenters,For All We Know,Carpenters,3.0,1971-02-06,1971-05-01,1971-03-06,1971-04-17,4.0,7.0,2.0,7.0,20.0,9.0,18.23076923076923,13.0,1.0,2
It's Time To CryPaul Anka,It's Time To Cry,Paul Anka,4.0,1959-11-21,1960-02-27,1959-12-12,1960-01-09,3.0,5.0,7.0,5.0,21.666666666666668,11.714285714285714,27.333333333333332,15.0,1.0,2
"Down 4 UIrv Gotti Presents The Inc. Featuring Ja Rule, Ashanti, Charli Baltimore & Vita",Down 4 U,"Irv Gotti Presents The Inc. Featuring Ja Rule, Ashanti, Charli Baltimore & Vita",6.0,2002-06-22,2002-11-02,2002-08-03,2002-08-31,6.0,5.0,9.0,5.0,11.0,7.777777777777778,28.4,20.0,1.0,0
I Got A NameJim Croce,I Got A Name,Jim Croce,10.0,1973-10-06,1974-01-26,1973-11-17,1973-11-17,6.0,1.0,10.0,1.0,11.0,7.1,33.294117647058826,17.0,1.0,0
It's All In The GameTommy Edwards,It's All In The Game,Tommy Edwards,1.0,1958-08-16,1959-01-10,1958-09-13,1958-11-29,4.0,12.0,6.0,12.0,23.0,8.0,18.59090909090909,22.0,1.0,5
My GirlThe Temptations,My Girl,The Temptations,1.0,1965-01-16,1965-04-10,1965-02-06,1965-03-27,3.0,8.0,2.0,8.0,22.666666666666668,10.0,16.076923076923077,13.0,1.0,2
He's So FineThe Chiffons,He's So Fine,The Chiffons,1.0,1963-02-23,1963-06-01,1963-03-16,1963-05-11,3.0,9.0,3.0,9.0,25.666666666666668,11.666666666666666,17.933333333333334,15.0,1.0,2
DowntownPetula Clark,Downtown,Petula Clark,1.0,1964-12-19,1965-03-27,1965-01-09,1965-03-06,3.0,9.0,3.0,9.0,27.333333333333332,8.666666666666666,16.666666666666668,15.0,1.0,2
Make It HappenMariah Carey,Make It Happen,Mariah Carey,5.0,1992-02-22,1992-07-04,1992-03-28,1992-05-09,5.0,7.0,8.0,7.0,12.8,5.625,24.5,20.0,1.0,5
I Say A Little PrayerDionne Warwick,I Say A Little Prayer,Dionne Warwick,4.0,1967-10-21,1968-01-13,1967-11-18,1967-12-23,4.0,6.0,3.0,6.0,16.75,10.666666666666666,21.923076923076923,13.0,1.0,2
It's Your ThingThe Isley Brothers,It's Your Thing,The Isley Brothers,2.0,1969-03-15,1969-06-14,1969-04-12,1969-05-24,4.0,7.0,3.0,7.0,21.5,7.333333333333333,19.0,14.0,1.0,2
"Hi, Hi, HiWings","Hi, Hi, Hi",Wings,10.0,1972-12-16,1973-02-24,1973-02-03,1973-02-03,7.0,1.0,3.0,1.0,12.857142857142858,9.333333333333334,29.181818181818183,11.0,1.0,9
Land Of 1000 DancesWilson Pickett,Land Of 1000 Dances,Wilson Pickett,6.0,1966-07-30,1966-10-08,1966-09-03,1966-09-17,5.0,3.0,3.0,3.0,13.8,13.0,26.818181818181817,11.0,1.0,9
Gotta Travel OnBilly Grammer,Gotta Travel On,Billy Grammer,4.0,1958-11-22,1959-04-04,1959-01-03,1959-02-14,6.0,7.0,7.0,7.0,12.833333333333334,11.571428571428571,28.3,20.0,1.0,5
I Get AroundThe Beach Boys,I Get Around,The Beach Boys,1.0,1964-05-23,1964-08-29,1964-06-13,1964-08-08,3.0,9.0,3.0,9.0,22.0,5.666666666666667,15.533333333333333,15.0,1.0,2
Nashville CatsThe Lovin' Spoonful,Nashville Cats,The Lovin' Spoonful,8.0,1966-12-17,1967-02-18,1967-01-21,1967-01-28,5.0,2.0,3.0,2.0,15.4,7.333333333333333,28.5,10.0,1.0,9
Indiana Wants MeR. Dean Taylor,Indiana Wants Me,R. Dean Taylor,5.0,1970-09-05,1970-12-12,1970-10-24,1970-11-28,7.0,6.0,2.0,6.0,11.142857142857142,8.5,21.866666666666667,15.0,1.0,2
Magic StickLil' Kim Featuring 50 Cent,Magic Stick,Lil' Kim Featuring 50 Cent,2.0,2003-04-26,2003-10-04,2003-05-31,2003-08-16,5.0,12.0,7.0,12.0,13.0,6.142857142857143,18.333333333333332,24.0,1.0,5
"Nuthin' But A ""G"" ThangDr. Dre","Nuthin' But A ""G"" Thang",Dr. Dre,2.0,1993-01-30,1993-07-31,1993-02-27,1993-05-29,4.0,14.0,9.0,14.0,22.5,4.0,17.074074074074073,27.0,1.0,8
Meet Me HalfwayThe Black Eyed Peas,Meet Me Halfway,The Black Eyed Peas,7.0,2009-10-03,2010-03-13,2009-12-12,2010-01-02,10.0,4.0,10.0,6.0,6.8,3.9,23.958333333333332,24.0,1.0,0
GalvestonGlen Campbell,Galveston,Glen Campbell,4.0,1969-03-01,1969-05-17,1969-03-29,1969-05-03,4.0,6.0,2.0,6.0,19.75,10.5,21.083333333333332,12.0,1.0,2
Me And Mrs. JonesBilly Paul,Me And Mrs. Jones,Billy Paul,1.0,1972-11-04,1973-02-17,1972-12-09,1973-01-27,5.0,8.0,3.0,8.0,13.6,8.333333333333334,17.6875,16.0,1.0,2
Hanky PankyTommy James And The Shondells,Hanky Panky,Tommy James And The Shondells,1.0,1966-06-04,1966-08-20,1966-07-02,1966-08-06,4.0,6.0,2.0,6.0,17.25,13.0,19.333333333333332,12.0,1.0,2
"I Dig Rock And Roll MusicPeter, Paul & Mary",I Dig Rock And Roll Music,"Peter, Paul & Mary",9.0,1967-08-19,1967-10-28,1967-09-23,1967-09-30,5.0,2.0,4.0,2.0,13.4,10.0,30.363636363636363,11.0,1.0,9
"Fly, Robin, FlySilver Convention","Fly, Robin, Fly",Silver Convention,1.0,1975-10-11,1976-01-31,1975-11-22,1976-01-03,6.0,7.0,4.0,7.0,14.166666666666666,12.75,26.058823529411764,17.0,1.0,2
Hold Me NowThompson Twins,Hold Me Now,Thompson Twins,3.0,1984-02-11,1984-06-30,1984-04-14,1984-05-26,9.0,7.0,5.0,7.0,7.222222222222222,17.0,29.0,21.0,1.0,5
On The RadioDonna Summer,On The Radio,Donna Summer,5.0,1980-01-12,1980-05-03,1980-02-16,1980-03-22,5.0,6.0,6.0,6.0,15.4,14.833333333333334,31.176470588235293,17.0,1.0,2
Duke Of EarlGene Chandler,Duke Of Earl,Gene Chandler,1.0,1962-01-13,1962-04-21,1962-02-03,1962-03-24,3.0,8.0,4.0,8.0,28.666666666666668,14.0,21.466666666666665,15.0,1.0,2
Love Takes TimeMariah Carey,Love Takes Time,Mariah Carey,1.0,1990-09-15,1991-03-09,1990-10-27,1990-12-08,6.0,7.0,13.0,7.0,11.333333333333334,6.538461538461538,29.692307692307693,26.0,1.0,5
Let's Get It OnMarvin Gaye,Let's Get It On,Marvin Gaye,1.0,1973-07-14,1973-11-17,1973-08-11,1973-11-03,4.0,13.0,2.0,13.0,16.75,11.0,14.368421052631579,19.0,1.0,5
I've Got To Use My ImaginationGladys Knight And The Pips,I've Got To Use My Imagination,Gladys Knight And The Pips,4.0,1973-11-24,1974-03-09,1974-01-05,1974-02-09,6.0,6.0,4.0,6.0,10.666666666666666,8.0,23.25,16.0,1.0,2
Long Cool Woman (In A Black Dress)The Hollies,Long Cool Woman (In A Black Dress),The Hollies,2.0,1972-06-24,1972-09-30,1972-07-29,1972-09-16,5.0,8.0,2.0,8.0,13.0,17.0,20.0,15.0,1.0,2
HelloLionel Richie,Hello,Lionel Richie,1.0,1984-02-25,1984-08-04,1984-04-07,1984-06-09,6.0,10.0,8.0,10.0,10.833333333333334,10.625,29.041666666666668,24.0,1.0,5
If You're Ready (Come Go With Me)The Staple Singers,If You're Ready (Come Go With Me),The Staple Singers,9.0,1973-10-27,1974-02-09,1973-12-15,1973-12-22,7.0,2.0,7.0,2.0,9.428571428571429,8.428571428571429,31.5,16.0,1.0,0
I Know A PlacePetula Clark,I Know A Place,Petula Clark,3.0,1965-03-20,1965-06-05,1965-04-10,1965-05-15,3.0,6.0,3.0,6.0,28.333333333333332,13.666666666666666,24.833333333333332,12.0,1.0,2
Forty Miles Of Bad RoadDuane Eddy And The Rebels,Forty Miles Of Bad Road,Duane Eddy And The Rebels,9.0,1959-06-13,1959-09-19,1959-07-25,1959-08-15,6.0,4.0,5.0,3.0,14.5,11.2,29.733333333333334,15.0,1.0,9
In Your RoomThe Bangles,In Your Room,The Bangles,5.0,1988-10-15,1989-02-25,1988-12-24,1989-01-14,10.0,4.0,6.0,4.0,6.5,15.5,35.65,20.0,1.0,0
I'm Gonna Be StrongGene Pitney,I'm Gonna Be Strong,Gene Pitney,9.0,1964-10-24,1965-01-09,1964-12-05,1964-12-19,6.0,3.0,3.0,3.0,10.666666666666666,13.0,26.916666666666668,12.0,1.0,9
I Love Your SmileShanice,I Love Your Smile,Shanice,2.0,1991-11-23,1992-05-16,1992-01-18,1992-03-28,8.0,11.0,7.0,11.0,10.75,5.857142857142857,21.76923076923077,26.0,1.0,5
Hey! BabyBruce Channel,Hey! Baby,Bruce Channel,1.0,1962-01-27,1962-05-05,1962-02-24,1962-04-14,4.0,8.0,3.0,8.0,17.25,15.666666666666666,20.2,15.0,1.0,2
Everything Is BeautifulRay Stevens,Everything Is Beautiful,Ray Stevens,1.0,1970-04-04,1970-07-11,1970-05-09,1970-06-13,5.0,6.0,4.0,6.0,13.4,6.5,20.333333333333332,15.0,1.0,2
Donna The Prima DonnaDion (Di Muci),Donna The Prima Donna,Dion (Di Muci),6.0,1963-09-14,1963-11-23,1963-10-12,1963-11-02,4.0,4.0,3.0,4.0,16.25,14.0,25.90909090909091,11.0,1.0,9
"Gossip FolksMissy ""Misdemeanor"" Elliott Featuring Ludacris",Gossip Folks,"Missy ""Misdemeanor"" Elliott Featuring Ludacris",8.0,2002-12-28,2003-05-10,2003-02-22,2003-03-29,8.0,6.0,6.0,6.0,8.25,9.666666666666666,28.2,20.0,1.0,0
Na Na Hey Hey Kiss Him GoodbyeSteam,Na Na Hey Hey Kiss Him Goodbye,Steam,1.0,1969-10-18,1970-01-31,1969-11-22,1970-01-10,5.0,8.0,3.0,8.0,14.0,5.333333333333333,18.75,16.0,1.0,2
Gangsta LeanDRS,Gangsta Lean,DRS,4.0,1993-10-16,1994-02-26,1993-11-06,1994-01-15,3.0,11.0,6.0,11.0,23.0,8.166666666666666,21.2,20.0,1.0,5
Morning Train (Nine To Five)Sheena Easton,Morning Train (Nine To Five),Sheena Easton,1.0,1981-02-14,1981-07-04,1981-04-11,1981-05-16,8.0,6.0,7.0,6.0,8.5,12.571428571428571,29.714285714285715,21.0,1.0,5
NastyJanet Jackson,Nasty,Janet Jackson,3.0,1986-05-17,1986-09-20,1986-06-28,1986-08-02,6.0,6.0,7.0,6.0,10.833333333333334,13.142857142857142,35.578947368421055,19.0,1.0,5
Let's Go!Wang Chung,Let's Go!,Wang Chung,9.0,1987-01-24,1987-05-23,1987-04-04,1987-04-11,10.0,2.0,6.0,2.0,6.4,14.5,38.72222222222222,18.0,1.0,0
From A DistanceBette Midler,From A Distance,Bette Midler,2.0,1990-10-06,1991-03-30,1990-11-17,1991-01-19,6.0,10.0,10.0,10.0,10.833333333333334,8.8,30.53846153846154,26.0,1.0,5
I Remember YouFrank Ifield,I Remember You,Frank Ifield,5.0,1962-09-08,1962-11-17,1962-10-06,1962-10-27,4.0,4.0,3.0,4.0,17.0,16.0,28.545454545454547,11.0,1.0,9
"Hello, Dolly!Louis Armstrong And The All Stars","Hello, Dolly!",Louis Armstrong And The All Stars,1.0,1964-02-15,1964-07-11,1964-03-21,1964-06-13,5.0,13.0,4.0,13.0,13.2,9.0,17.363636363636363,22.0,1.0,5
It Ain't Me BabeThe Turtles,It Ain't Me Babe,The Turtles,8.0,1965-08-07,1965-10-16,1965-09-11,1965-09-25,5.0,3.0,3.0,3.0,13.4,12.0,28.09090909090909,11.0,1.0,9
Miss YouThe Rolling Stones,Miss You,The Rolling Stones,1.0,1978-05-27,1978-10-07,1978-07-08,1978-09-02,6.0,9.0,5.0,9.0,11.5,17.6,24.95,20.0,1.0,5
I Can't Stop Loving YouRay Charles,I Can't Stop Loving You,Ray Charles,1.0,1962-05-05,1962-09-01,1962-05-26,1962-08-04,3.0,11.0,4.0,11.0,27.333333333333332,14.25,19.0,18.0,1.0,2
Hey PaulaPaul and Paula,Hey Paula,Paul and Paula,1.0,1962-12-29,1963-04-06,1963-01-19,1963-03-16,3.0,9.0,3.0,9.0,28.666666666666668,14.333333333333334,20.2,15.0,1.0,2
I Heard It Through The GrapevineGladys Knight And The Pips,I Heard It Through The Grapevine,Gladys Knight And The Pips,2.0,1967-10-21,1968-02-10,1967-12-02,1968-01-27,6.0,9.0,2.0,9.0,11.0,17.0,19.294117647058822,17.0,1.0,2
I Fought The LawBobby Fuller Four,I Fought The Law,Bobby Fuller Four,9.0,1966-01-29,1966-04-09,1966-03-12,1966-03-19,6.0,2.0,3.0,2.0,11.0,12.333333333333334,29.636363636363637,11.0,1.0,9
Give It To YouJordan Knight,Give It To You,Jordan Knight,10.0,1999-04-03,1999-08-14,1999-05-15,1999-05-15,6.0,1.0,13.0,1.0,14.166666666666666,6.230769230769231,36.4,20.0,1.0,7
ElenoreThe Turtles,Elenore,The Turtles,6.0,1968-09-21,1968-12-07,1968-10-26,1968-11-16,5.0,4.0,3.0,4.0,17.6,7.333333333333333,27.0,12.0,1.0,9
Is This LoveSurvivor,Is This Love,Survivor,9.0,1986-10-25,1987-02-28,1987-01-10,1987-01-24,11.0,3.0,5.0,3.0,5.818181818181818,15.2,32.8421052631579,19.0,1.0,0
Love Came To MeDion,Love Came To Me,Dion,10.0,1962-11-10,1963-01-19,1962-12-22,1962-12-22,6.0,1.0,4.0,1.0,10.666666666666666,6.75,30.90909090909091,11.0,1.0,9
Hold OnWilson Phillips,Hold On,Wilson Phillips,1.0,1990-03-17,1990-09-01,1990-05-12,1990-07-07,8.0,9.0,8.0,9.0,8.5,11.25,29.2,25.0,1.0,5
Goin' Out Of My HeadLittle Anthony And The Imperials,Goin' Out Of My Head,Little Anthony And The Imperials,6.0,1964-11-07,1965-02-06,1964-12-19,1965-01-16,6.0,5.0,3.0,5.0,11.333333333333334,7.666666666666667,22.5,14.0,1.0,9
Magic Carpet RideSteppenwolf,Magic Carpet Ride,Steppenwolf,3.0,1968-10-05,1969-01-18,1968-11-09,1968-12-21,5.0,7.0,4.0,7.0,15.8,5.5,23.1875,16.0,1.0,2
HappyPharrell Williams,Happy,Pharrell Williams,1.0,2014-01-18,2014-12-06,2014-02-15,2014-07-12,4.0,22.0,21.0,22.0,22.5,1.9047619047619047,18.06382978723404,47.0,1.0,3
Little Green ApplesO.C. Smith,Little Green Apples,O.C. Smith,2.0,1968-08-17,1968-12-07,1968-10-05,1968-11-23,7.0,8.0,2.0,8.0,13.428571428571429,6.0,26.58823529411765,17.0,1.0,2
Hold Me TightJohnny Nash,Hold Me Tight,Johnny Nash,5.0,1968-09-14,1968-12-21,1968-11-02,1968-11-30,7.0,5.0,3.0,5.0,12.857142857142858,5.333333333333333,29.533333333333335,15.0,1.0,2
Help Me Make It Through The NightSammi Smith,Help Me Make It Through The Night,Sammi Smith,8.0,1971-01-16,1971-05-01,1971-03-20,1971-04-03,9.0,3.0,4.0,3.0,9.88888888888889,5.0,33.9375,16.0,1.0,0
LaylaDerek & The Dominos,Layla,Derek & The Dominos,10.0,1971-03-27,1972-08-19,1972-08-05,1972-08-05,71.0,1.0,2.0,1.0,1.2394366197183098,12.0,46.56,25.0,2.0,6
Maggie May/Reason To BelieveRod Stewart,Maggie May/Reason To Believe,Rod Stewart,1.0,1971-07-17,1971-12-04,1971-09-11,1971-11-20,8.0,11.0,2.0,11.0,11.0,8.5,27.047619047619047,21.0,1.0,5
Hot Rod LincolnCommander Cody & His Lost Planet Airmen,Hot Rod Lincoln,Commander Cody & His Lost Planet Airmen,9.0,1972-03-25,1972-06-24,1972-05-27,1972-06-03,9.0,2.0,3.0,2.0,9.777777777777779,7.333333333333333,31.357142857142858,14.0,1.0,9
Last SongEdward Bear,Last Song,Edward Bear,3.0,1972-12-16,1973-04-14,1973-02-24,1973-03-31,10.0,6.0,2.0,6.0,9.1,8.0,33.72222222222222,18.0,1.0,2
Hocus PocusFocus,Hocus Pocus,Focus,9.0,1973-03-03,1973-07-07,1973-05-26,1973-06-09,12.0,3.0,4.0,3.0,7.333333333333333,18.0,42.94736842105263,19.0,1.0,0
FrankensteinEdgar Winter Group,Frankenstein,Edgar Winter Group,1.0,1973-03-10,1973-07-21,1973-05-05,1973-06-16,8.0,7.0,5.0,7.0,11.0,6.8,32.5,20.0,1.0,5
Lady MarmaladeLabelle,Lady Marmalade,Labelle,1.0,1975-01-04,1975-05-03,1975-03-01,1975-04-12,8.0,7.0,3.0,7.0,11.25,11.333333333333334,30.5,18.0,1.0,2
Love Will Keep Us TogetherCaptain & Tennille,Love Will Keep Us Together,Captain & Tennille,1.0,1975-04-19,1975-09-20,1975-06-14,1975-07-19,8.0,6.0,9.0,6.0,12.0,7.333333333333333,30.08695652173913,23.0,1.0,5
FeelingsMorris Albert,Feelings,Morris Albert,6.0,1975-06-21,1976-01-24,1975-10-18,1975-11-22,17.0,6.0,9.0,6.0,5.352941176470588,6.333333333333333,40.0,32.0,1.0,4
Dream WeaverGary Wright,Dream Weaver,Gary Wright,2.0,1976-01-03,1976-05-15,1976-02-28,1976-04-17,8.0,8.0,4.0,8.0,11.25,11.25,30.2,20.0,1.0,5
"More, More, More Pt. 1Andrea True Connection","More, More, More Pt. 1",Andrea True Connection,4.0,1976-03-13,1976-08-28,1976-06-12,1976-07-17,13.0,6.0,6.0,6.0,6.846153846153846,16.0,36.68,25.0,1.0,4
Let Her InJohn Travolta,Let Her In,John Travolta,10.0,1976-05-01,1976-09-11,1976-07-24,1976-07-24,12.0,1.0,7.0,1.0,7.333333333333333,7.285714285714286,44.3,20.0,1.0,0
Dreamin'Vanessa Williams,Dreamin',Vanessa Williams,8.0,1989-01-07,1989-05-20,1989-04-01,1989-04-08,12.0,2.0,6.0,2.0,7.416666666666667,14.0,41.1,20.0,1.0,0
Jump AroundHouse Of Pain,Jump Around,House Of Pain,3.0,1992-06-27,1993-01-16,1992-09-12,1992-11-21,11.0,11.0,8.0,11.0,8.090909090909092,4.625,25.466666666666665,30.0,1.0,8
Fallin'Alicia Keys,Fallin',Alicia Keys,1.0,2001-06-16,2002-02-02,2001-08-04,2001-12-08,7.0,19.0,8.0,19.0,12.571428571428571,3.25,20.941176470588236,34.0,1.0,8
Get LowLil Jon & The East Side Boyz Featuring Ying Yang Twins,Get Low,Lil Jon & The East Side Boyz Featuring Ying Yang Twins,2.0,2003-05-03,2004-03-06,2003-08-09,2003-11-29,14.0,17.0,14.0,16.0,6.285714285714286,2.7857142857142856,26.822222222222223,45.0,1.0,3
Laffy TaffyD4L,Laffy Taffy,D4L,1.0,2005-10-01,2006-03-25,2005-11-26,2006-02-04,8.0,11.0,7.0,11.0,11.375,5.285714285714286,27.23076923076923,26.0,1.0,5
I Write Sins Not TragediesPanic! At The Disco,I Write Sins Not Tragedies,Panic! At The Disco,7.0,2006-03-18,2006-11-25,2006-08-19,2006-09-02,22.0,3.0,12.0,3.0,4.0,3.0,32.91891891891892,37.0,1.0,4
GlamorousFergie Featuring Ludacris,Glamorous,Fergie Featuring Ludacris,1.0,2007-01-27,2007-08-11,2007-03-17,2007-06-02,7.0,12.0,10.0,13.0,12.857142857142858,3.9,23.79310344827586,29.0,1.0,8
Hate That I Love YouRihanna Featuring Ne-Yo,Hate That I Love You,Rihanna Featuring Ne-Yo,7.0,2007-09-15,2008-03-08,2007-12-08,2008-01-05,12.0,5.0,9.0,8.0,7.416666666666667,4.222222222222222,25.03846153846154,26.0,1.0,4
Miss IndependentNe-Yo,Miss Independent,Ne-Yo,7.0,2008-09-06,2009-03-14,2008-12-06,2008-12-20,13.0,3.0,12.0,7.0,6.846153846153846,3.3333333333333335,21.785714285714285,28.0,1.0,4
"Hey, Soul SisterTrain","Hey, Soul Sister",Train,3.0,2009-10-17,2010-10-23,2010-01-30,2010-06-12,15.0,20.0,19.0,19.0,6.066666666666666,1.7894736842105263,24.814814814814813,54.0,1.0,3
My WayFetty Wap Featuring Monty,My Way,Fetty Wap Featuring Monty,7.0,2015-07-18,2015-12-19,2015-08-08,2015-08-29,3.0,4.0,16.0,4.0,30.333333333333332,2.1875,27.136363636363637,22.0,2.0,7
High HopesPanic! At The Disco,High Hopes,Panic! At The Disco,4.0,2018-06-09,2019-08-10,2018-11-24,2019-03-02,24.0,15.0,23.0,15.0,3.75,1.0,25.71153846153846,52.0,3.0,1
In The MoodErnie Fields & Orch.,In The Mood,Ernie Fields & Orch.,4.0,1959-09-19,1960-01-23,1959-11-21,1959-12-12,9.0,4.0,6.0,4.0,10.11111111111111,8.666666666666666,29.105263157894736,19.0,1.0,0
Let The Little Girl DanceBilly Bland,Let The Little Girl Dance,Billy Bland,7.0,1960-02-13,1960-06-25,1960-04-30,1960-05-21,11.0,4.0,5.0,4.0,8.272727272727273,9.4,41.3,20.0,1.0,0
Happy-Go-Lucky-MePaul Evans,Happy-Go-Lucky-Me,Paul Evans,10.0,1960-04-30,1960-07-30,1960-06-11,1960-06-11,6.0,1.0,7.0,1.0,14.833333333333334,8.714285714285714,40.5,14.0,1.0,9
Last DateFloyd Cramer,Last Date,Floyd Cramer,2.0,1960-10-08,1961-02-18,1960-11-12,1961-01-14,5.0,10.0,5.0,10.0,18.2,11.2,23.35,20.0,1.0,5
I Know (You Don't Love Me No More)Barbara George,I Know (You Don't Love Me No More),Barbara George,3.0,1961-11-11,1962-03-24,1962-01-13,1962-02-17,9.0,6.0,5.0,6.0,10.444444444444445,11.6,35.55,20.0,1.0,5
Maria ElenaLos Indios Tabajaras,Maria Elena,Los Indios Tabajaras,6.0,1963-09-21,1963-12-21,1963-11-02,1963-11-23,6.0,4.0,4.0,4.0,14.833333333333334,10.0,32.07142857142857,14.0,1.0,9
Love Me With All Your Heart (Cuando Calienta El Sol)The Ray Charles Singers,Love Me With All Your Heart (Cuando Calienta El Sol),The Ray Charles Singers,3.0,1964-04-11,1964-07-18,1964-05-23,1964-06-27,6.0,6.0,3.0,6.0,15.666666666666666,8.0,27.333333333333332,15.0,1.0,2
Hang On SloopyThe McCoys,Hang On Sloopy,The McCoys,1.0,1965-08-14,1965-11-13,1965-09-18,1965-10-30,5.0,7.0,2.0,7.0,18.4,11.0,23.5,14.0,1.0,2
Lil' Red Riding HoodSam The Sham and the Pharaohs,Lil' Red Riding Hood,Sam The Sham and the Pharaohs,2.0,1966-06-11,1966-09-10,1966-07-16,1966-08-27,5.0,7.0,2.0,7.0,18.0,13.0,25.571428571428573,14.0,1.0,2
Judy In Disguise (With Glasses)John Fred And The Playboys,Judy In Disguise (With Glasses),John Fred And The Playboys,1.0,1967-11-25,1968-03-09,1967-12-30,1968-02-17,5.0,8.0,3.0,8.0,18.6,7.0,22.1875,16.0,1.0,2
Love Is Blue (L'amour Est Bleu)Paul Mauriat And His Orchestra,Love Is Blue (L'amour Est Bleu),Paul Mauriat And His Orchestra,1.0,1968-01-06,1968-05-04,1968-02-03,1968-04-06,4.0,10.0,4.0,10.0,23.0,6.5,20.166666666666668,18.0,1.0,2
I've Gotta Get A Message To YouBee Gees,I've Gotta Get A Message To You,Bee Gees,8.0,1968-08-17,1968-11-09,1968-09-21,1968-10-26,5.0,6.0,2.0,6.0,18.0,9.0,27.46153846153846,13.0,1.0,9
Midnight CowboyFerrante & Teicher,Midnight Cowboy,Ferrante & Teicher,10.0,1969-11-01,1970-02-07,1970-01-17,1970-01-17,11.0,1.0,3.0,1.0,8.090909090909092,4.333333333333333,31.933333333333334,15.0,1.0,0
I Am WomanHelen Reddy,I Am Woman,Helen Reddy,1.0,1972-06-24,1973-01-20,1972-11-11,1972-12-30,20.0,8.0,3.0,8.0,4.55,13.0,34.68181818181818,22.0,2.0,4
Garden PartyRick Nelson And The Stone Canyon Band,Garden Party,Rick Nelson And The Stone Canyon Band,6.0,1972-07-29,1972-12-02,1972-10-21,1972-11-11,12.0,4.0,3.0,4.0,7.583333333333333,7.333333333333333,37.36842105263158,19.0,1.0,0
My Ding-A-LingChuck Berry,My Ding-A-Ling,Chuck Berry,1.0,1972-08-05,1972-11-25,1972-10-07,1972-11-11,9.0,6.0,2.0,6.0,10.0,12.5,30.647058823529413,17.0,1.0,2
Little WillyThe Sweet,Little Willy,The Sweet,3.0,1973-01-20,1973-06-23,1973-04-21,1973-06-02,13.0,7.0,3.0,7.0,7.076923076923077,9.666666666666666,37.869565217391305,23.0,1.0,5
"Never, Never Gonna Give Ya UpBarry White","Never, Never Gonna Give Ya Up",Barry White,7.0,1973-10-27,1974-02-23,1973-12-22,1974-01-12,8.0,4.0,6.0,4.0,11.125,5.333333333333333,27.72222222222222,18.0,1.0,0
